#,Topic,Title,Context,Challenge,Potential Solution(s),Needed Resources,"Submissions by public entities, Universities and hospitals"
1,Art & Culture,The Digital Stage,"Online Rehearsals and Performances by Music and Theatre Groups, without the need to meet on a real stage","Low-Latency and Central Mixdown / Greenscreen Video Conference Tool, designed for Artistic Needs & Applications",This is Project No 265 of the German wirvsvirushackathon.org ( digital-stage.net ),All kinds of support,
44,Dissemination Prevention,It doesn't just happen to other people!,Lack of preparation and anticipation for the arrival of a health crisis in our country,Non-adoption of appropriate gestures and adoption of inappropriate behaviours. How can this be remedied?,"Information/education, empowerment (all audiences: school, business, private, etc.) to be adapted to the audience",Multidisciplinary team for materials development and access to one of the target audiences to test the intervention and materials.,
45,Dissemination Prevention,Corona Country Timeline,"HE2RO is modelling COVID-19 transmission and intervention impact and costs for the South African population. With only 54% of 7.7 million people living with HIV/Aids on HIV treatment and virally suppressed, South Africa has a large immunocompromised population with an anticipated high risk of COVID-19 acquisition.","In order to predict and estimate the impact and budget needed for COVID-19 control measures, we need to quantify how the timing and severity of different epidemic control interventions have impacted the trajectory of COVID-19 in different countries.","Construct a timeline of country specific interventions (mass testing, travel restrictions, city-, regional- and national-lockdowns, school close downs) using a text-mining and/or natural language processor based solution for non-academic data sources.",We have pre-determined search categories and need programmers and/or software engineers to build an information extraction model that would allow us to identify the relevant events and dates from news reports and official governmental press releases,
46,Dissemination Prevention,Hotspots & Heat Maps,"The virus spread is contingent on lifestyles factors and characteristics of communities. The limitation of interpersonal relationships decreases societal trust, is weakening economy and disrupting societies. We know how the virus disseminates from one individual to another however we lack the detailed knowledge how it disseminates within society. Thus, the safest option seems to enforce general social distancing. Alternatively, how about smart distancing? ","We only assume the real hotspots for dissemination. Restaurants, offices and schools are shut down while jogging trails, supermarkets and public transport are not. Are our underlying assumptions correct? We must understand the mechanisms of dissemination at a larger scale. Establishing an environment of confidence and trust for the individual while supporting communal efforts to improve on managing and overcoming the current crisis.
Identifying safe social contours that minimize risk of infection to allow for public reintegration and re-energizing the economy to rebuild community relationships.","Several solutions have been suggested:
- 1) Creating mobility tracking GPS-App with voluntary participation 2) Collecting the anonymous data3) Assembling collected data to macro level moving patterns4) People reporting if being infected5) Big Data: Time spent at a certain hotspot vs being infected 
- Provide a secure crowd tracking environment allowing for continued recording of individual symptoms. Pool the data to create geographic heat maps and in parallel pinpoint shifts in personal wellbeing.
- Modelling lifestyles from questionnaire results we are collecting, and identifying “social contours” (areas outside pandemic risk zones) to allow trusted societal integration at variable safe proximity. Restarting services, economic industry, leisure and socialization important to thriving communities.
- Fever and coughs are predictors for influenza-like illnesses. Researchers (FluSense) showed that people counting with infrared cameras and cough monitoring with microphones can predict illnesses. Is this adaptable for large scale epidemic tracking?","Different resources have been requested:
- Steps 1)-3) could be taken over from the Research project ""MOBIS"" about mobility behavior in Switzerland. Step 4) needs “only” honest people. Step 5) is the real challenge: Requirement of both AI/Big Data implementers and generalists to evaluate the results.
- Project Management / UX/UI / Web development / Data analytics / Upscaling backend
- We need experts from different fields (ex. bioethics, computational biology, SHS) to analyze results of a questionnaire about lifestyles from which we can create social network graphs, identify areas of risk, model social factors and virus characteristics of spread with causal diagrams. We'll use the resources to map social contours and interrupt the pathways of transmission.
- Infineon has high performance microphones and partners, algorithm - machine learning expertise is needed; datasets (audio if microphones are to be used);  implementation partners (system integrators); expertise with IR cameras for fever measuring","A similar challenge has been submitted by the Federal Office of Public Health. Due to the current crisis, they will not be able to provide additional support to the teams throughout the Hackathon. Nevertheless, they are looking forward to seeing the results after the weekend!"
47,Dissemination Prevention,AI to detect COVID-19 from cough sound recordings,"Not enough people are getting tested for COVID-19.
",Every coughing person shall be able to get tested at zero costs directly from home.,An AI detects how likely you have COVID-19 simply from your cough sound recording. We won the #codevscovid19 hackathon this weekend with detect-now.org – now we want you to continue build on this open source project and make it available to a broader audience soon!,"During the #codevscovid19 we collected already over 200 cough sound recordings and built some prediction models with deep learning. You can build on that, potentially collect more (ideally verified) data and improve the algorithm and the tool.",
48,Dissemination Prevention,Collecting and evaluating the impact of control measures,We need to understand -- and eventually -- adapt the control policy and convince populations that they need to adopt them.,"To understand the impact of the adopted measures, we need to a) have a machine readable dataset of control measures b) evaluate their effect with statistical models",We already worked on a similar project in the context of a smaller hackathon organised by the canton of Zurich (see here https://github.com/baffelli/covid-2019-measures),I need volunteer to help us improving our dataset. People expert in epidemological or statistical modeling are helpful to understand the first impact of the measures.,
49,Dissemination Prevention,Analysis of Antibodies in blood of infected people with no or mild symptoms,"Any vaccine to COVID-19 is still likely at least a year way. 
Economy experiencing slowdown due to disruptions in supply chains and reduction of illness-related workforce.","Finding medical solution based on immune response of infected people with no or mild symptoms with  COVID-19, and without pre-treatment or treatment.
Identify and return back workforce(partial) who are safe with COVID-19.","According to the WHO, about 80% of people who get Covid-19 experience a mild case(about as serious as a regular cold) and recover without needing any special treatment.
Based on our general understanding of virus, vaccine and immunology, we know that vaccine works by training immune system to recognize and combat pathogens, either viruses or bacteria, and can safely learn to recognize them as hostile invaders, produce antibodies, and remember them for the future. If the bacteria or virus reappears, these memory cells recognize antigens on the pathogens they have encountered before, triggering the immune system to respond faster and more effectively than on the first exposure.

Combing the two facts into one reveal that the 80% people already have antibodies in their body which can reacts COVID-19. Therefore, antibodies screening database of the of the mild case patients or recovered people may significantly shorten duration of a medical solution.

Meanwhile, if the above assumption to be confirmed by scientists, then we can identify people with an effective immune response, and are actually safe and not able to get infected again, those people can return to work, and minimize growing impact to the economy.","Federal Office of Public Health, Scientific contributions from all areas of virology, immunology, microbiology and etc.",
50,Dissemination Prevention,Reduce COVID R Naught,COVID runs at a R0 rate of 3-4 which is why we have exponential growth,Crowd source illness reports to aid a early warning system for governments and the population ,"Simple app for people to log themselves (limited PII), view data around them and larger orgs to calculate impacts through dashboards","I have a system to utilize graph db and build appropriate API’s. Require Frontend Devs, visualization and thinkers. Make it attractive to use.",
51,Dissemination Prevention,Disinfection,"In prevision of ending confinement, we have to improve cutting cross contaminations",People forget to always disinfect their hands when outside. Can we help preventing contamination ?,"Common cross contacts points could be disinfected very often (digicodes, bancomats, payment keyboards, public transports)","Need the people to do that, or to pass relevant laws. Maybe involve the Regies for the buildings",
52,Dissemination Prevention,"Prediction of diseases with the ""stay healthy at home"" competition","Actually ministries of our state can't predict how the diseases is spreading and growing in the regions of a country, region, city, district, quarter ...","Find out, how the population can be anonymously involved in a such situatation by the approach ""pay for your data"" in a competition, to predict the spreading of diseases and use the results to prepare the needed ressources in a region and to give safety for the population.",Primary a concept is needed how we the Competition can be financed and the hole citiziens can be registred and involved. Secondary we need a digital plattform to build up a system to give periodicaly data records about healthy of each participant.,"Data-Services to the governal ID/Passport verification service, that citiziens can be verified. Mobile or Phone Call Services to use on verification process. Probabley datasets and Data-Analytics Experts, that can analyse the data feedbacks of the people, and medical stuff to identify which questions are needed from the people to identify the healthy questions for COVID-19. Financial experts to define how a payback for the pay 4 your data approach can be implemented",
53,Dissemination Prevention,Complementary Medicine App (Focus: Individual Health Profile),"The better you know your individual health situation and the strength of your immune system, the better you can improve your health situation and individually be prepared to fight COVID-19 and any other viruses in the future.","Most people don’t know what aspects of their health situation could and should be improved especially when it comes to the possibilities of alternative and complementary medicine incorporating the immune system, metabolism, root cause analysis and body-mind-balance.",Based on a regular self-assessment people can better understand their current health situation in an app with an intuitive user experience. This would allow them to better understand what aspects should be improved to become stronger in fighting viruses.,A basic set of questions and possible metrics to define the unique health situation could be provided. The outcome should most probably be a prototype for a proof of concept rather than an already fully fletched version.,
54,Dissemination Prevention,Sharing Public Spaces,"During a lockdown, we're not supposed to use public spaces, not even large areas. This cuts off a lot of people from access to open spaces. This will be problematic for the morale if the lockdowns last several months.","The problem with large public spaces is the lack of coordination on who comes down to the park at a given time. What if we could share public spaces by booking access slots, with the proper restrictions on people density by limiting the number of people in an area in a given time. (People would keep their distances ""visually"".) Authorities can then check the validity of the booking when doing checks. This could be also used e.g. for stores.","An application that would manage this process securely and with the proper guards in terms of privacy, yet in a way that authorities can check things.",Would need a team of software designers and developers and a team to brainstorm on the details of the concept.,
55,Dissemination Prevention,Covid Pass or Register,"Lifting the (partial) shutdown and reopening borders will require trust between people and governments about who is immune, vaccinated and/or who got recently tested. A person might have this information but how can (s)he share this information with e.g. the airline when booking, a customer who wants to hire a cleaning help or get a massage?","How can individuals but also groups prove their immunity in a targeted manner (e.g. for reduced protective measures for immunized nursing staff, for participation in a cultural event after relaxation of the measures or for moving across borders) - under the assumption that immunity to COVID disease exists. This proof needs to be digital but respect data privacy and data security standards.","Different solutions have been suggested:
- A ""digital Covid pass"" to extend / modernize the more general but analog WHO vaccination booklet.
- A forgery-proof register for data of persons who are immune to Sars-CoV-2 can be realized with a blockchain.
- Self-registration - testing body (laboratory/doctor?) certifies the person as ""COVID-resistant
- Schengen countries could issue temporary digital ""Covid passports"" containing information about immunity status and recent travels to facilitate the re-introduction of travel authorisations. Persons labelled as “Covid immune” would then receive travel authorisation and non-immune people be controlled by Schengen countries when crossing the border.
- We are going to use blockchain to issue Covid-19-free, immutable, digital health confirmations to flight passages. Confirmation will then be checked by the airlines at boarding and accepted as proof of Covid-19 free bill of health. (Passengers could also upload the digital encrypted certificate during online check in). Passengers should be scheduled to board a flight within 24h/48h/72h from the COVID-19 health check up time. Doctor will upload the COVID-19 confirmation on our platform. 
- A blockchain solution would allow recording on a secure and unchangeable blockchain database of all patient data related to the diagnosis of COVID-19, to monitor in real time the diagnosed cases and their status, and to securely share the data with relevant actors such as the medical profession or the police.","Different resources have been mentioned:
- Blockchain experts, general data security experts, Sars-CoV-2 antibody test specialists, UI designers.
- Data privacy and security experts, (to determine the content of the booklet: health experts) 
- Data protection specialist, app developer, blockchain specialist
- Partners: FDHA; FDFA; FDPH; State Secretariat for Migration;  WHO; European Commission; Foundation MyVaccines.
Other resources: e.g. electronic vaccination record; EU Directive for uniformed control procedure at the borders; EU legislation for Schengen-wide fond to buy common testing material.
- I need two blockchain developers. A doctor's practice capable to administer COVID-19 tests and in an airline to test the accuracy and validity of the COVID-19 virus free digital certificates. 
- Blockchain experts and a medical institution as a partner to set up the solution.","This challenge (without a suggested solution) has been submitted by the Federal Office of Public Health. Due to the current crisis, they will not be able to provide additional support to the teams throughout the Hackathon. Nevertheless, they are looking forward to seeing the results after the weekend!"
56,Dissemination Prevention,Risk Profiles,"We don't know what is the risk of infection with COVID per individual or household (what is the exposure risk of each person because of their jobs & how many members are in the risk category if they would get the virus). As stay at home restrictions are lifted, people will re-engage with their social networks. Yet, they might still be wary (maybe scared) to interact again with others. They need data and analysis that can help them make decisions that will limit their risk of contracting or spreading the virus to help society avoid a second wave.",We have to stay isolated because we don't know the probability of getting infected when X meet Y or a group. Peoples are willing to warn their future contacts by anonymously sharing a probabilistic variable regarding the current state of risks bringing in with. These in a network may form a powerful inference tool.,"Several solutions have been suggested:
- A believe network it would be useful to cover the asymptomatic period and use it in a shared inference model between peers which have a meeting plan. In top of that, a great contact tracing tool is formed, where targeted risk points could be notified, while respecting gdpr. 
- Empower individuals with knowledge of their social network (they will need to populate the graph or connect with others already in the graph) and provide analysis to identify small networks that can be engaged with and represent a reduced risk of contraction / dissemination, and which connections may be the gateways to larger networks representing greater risk.  The benefit is we can start to connect again in a considered manner that will also continue to help slow the spread of the virus.
- Limit the spread of the virus by having everyone's risk profile.This would help us understand who is most likely to get the virus,  who already had the virus and recovered, who came into contact with someone that was confirmed to have the virus, who needs to get tested with priority or home quarantined. We can also use this app to send notifications to the users when they are close by (eg 10 m) to someone that has a high risk of getting the virus (based on the nature of their job, eg: doctors) or they are next to someone that are in the risk category if they catch the virus (two different type of notifications: one to protect yourself, one to protect the people from the risk category (eg: elderly,people that have previous health conditions)","Several resources have been requested:
- Probabilistic programming, network theory skills are required. Implementation partner also required and some funds to finance a properly peer reviewed development.
- The project requires a graph database and a user interface in order to collect data and populate it.  Data scientists with an understanding of graph theory are required to build the analytics.  UI programmers are needed to build visualisations to help people see the network and make choices about connections.  Data privacy (GDPR) knowledge will also be required for the design and build.
- I need developers who can code and design the application (mobile & backend developers). I can provide functional requirements and coordinate the implementation.",
57,Dissemination Prevention,Detecting the Undetected,,How can the number of undetected infections (asymptomatic infections or infections with only mild symptoms) be reduced or at least better estimated?,,,"This challenge has been submitted by the Federal Office of Public Health. Due to the current crisis, they will not be able to provide additional support to the teams throughout the Hackathon. Nevertheless, they are looking forward to seeing the results after the weekend!"
58,Dissemination Prevention,The Effect of the Seasons,"It's highly relevant to evaluate how the dissemination of COVID-19 will continue. New factors, such as seasonal changes, make a prognosis especially difficult.",How can potential influencing factors of seasonality (e.g. seasonal meteorological factors but also social behaviour patterns) on the distribution be controlled or at least taken into account? ,"This is not only about a quantitative analysis, the challenge also requires a sociological and psychological perspective on the matter. How do we humans behave under different circumstances?",- An interdisciplinary team with a strong data science wing.- Maybe datasets and analyses from abroad.,"This challenge has been submitted by the Federal Office of Public Health. Due to the current crisis, they will not be able to provide additional support to the teams throughout the Hackathon. Nevertheless, they are looking forward to seeing the results after the weekend!"
59,Economic Impact,behavioural analysis of buying behaviour after announcements,"Until now, people in supermarkets have been instructed to count the shoppers present in order not to have too many people in too small a space. ",It is unclear how shopping behaviour will change after the Budesrat publishes new information.,All the data already collected from the people in the supermarket can be grouped and analysed centrally. This allows behavioural patterns to be identified following speeches by the Federal Council,"meter data, of the people who track the shoppers in the supermarket",
60,Economic Impact,The What-is-Actually-(Needed)-Where-Platform,"We are seeing supply and demand and the supply channels changing at breathtaking pace. Suppliers are not getting rid of their goods needed elsewhere. Inventive products do not find their market. Hamsterpurchases, usuriousprices and emerging blackmarkets illustrate the problem.","Cross-company supply-demand transparency (platform model) SMEs suffer from this radical imbalance, even more than the large suppliers that might have more supply-demand-transparency. The hypothesis is: the transparency helps SMEs to find sales-channels, ensures the security of supplyand dries the black markets.",A model for a platform that makes information of supply and demand of scarce goods transparent across companies. Conventional market platforms have business cases built on scarcity or hidden information. The Transparency of the What-is-Actually-(Needed)-Where-Platform supports business cases for security of supply.,"data sources for supply and demand, knowledge about market platforms, creativity techniques, business models",
61,Economic Impact,Support for small businesses and startups & distribute the workforce,"Many startups and small businesses, vulnerable to external shocks, are suffering: many had to shut down or they don't have enough businesss (no cashflow/liquidity), and not all have access to governmental financial support.",How can we help small business survive the shutdown?,"Suggested solutions: 
- Enable business to pre-sell stock online by using innovative fintech to enable pre-payment or issuing vouchers/giftcards e.g. using blockchain. Vouchers can be used in the future. Paying now helps with cashflow and spread the possible default risk while supporters have more flexibility where to use these tokenized vouchers.
- Toolkit to survive the quarentine & Consultation or workshop that helps re-orient
- For the blockchain proposal: team (Marcel Gasser) has the smart contract & smart bond technology based on blockchain. They want to cluster in cities: e.g. participating companies can request an amount of vouchers, and the collective pot can invest in these business. after crisis the collective can spend their tokens in for example all participating restaurants in zurich.
- Create a very simple and beautiful template landing page to offer gift cards (trackable database).
- Potentially also create a business marketplace to centralised all the businesses using the service.
- Introduce a gift scheme on a single platform for all small retail shops
- At Basel we have a start https://www.we-are-basel.ch/ (doyou GmbH)
- Compensate for free (and not credit) the lost of business
- A platform on which businesses can ask for worforce, with specific skillsets and vicinity to the needed workplaces, could help redistribute the workload during the crisis. On such a platform a business can also offer their workforce.","- UN to Provide 2 mentors: one from DFTF and one from gluoNNet
- MAVN Alliance has a funtioning prototype 

- FINMA or legal regulation topics ",UN Secretary-General’s Task Force on Digital Financing of the Sustainable Development Goals
62,Economic Impact,Building resilient and agile organizations ,"SMEs and startups facing challenges to a) resolve urgent issues to maintain operations, b) adapt the organisation, c) re-position strategically to new market environments d) build resilience capability to cope with future threats d) in all steps: ensure timeliness and optimise resource deployment. It also appears that organizations that have developed agile innovation and management methods have been more resilient in the covid-10 crisis. Unfortunately, most companies and organizations have not learned agile 
innovation and management methods before the crisis, and these methods are mostly taught during in-person seminars or hackathons."," How can we provide them the financial suport as well as access to needed expertise (legal, decision marking, digital marketing, financial management, etc)? What are the mechanisms that drive resilience and how can Start-Ups and SMEs implement them quickly? How can we redesign business models?","Suggested solutions:
- A ""market place"" type platform where solidarity companies come to offer free (in pro-bono mode, i.e. for the public good) expert contents, public webinars or software licenses.  All targeting subjects that will allow SME's to be correctly informed and get organized to resist the crisis and then get back on their feet better
- Develop e-learning for agile innovation & management so that all businesses and organizationst can profit ASAP of the resilience benefits these methods can offer. Ideally, we would like to have the e-learning process gamified and of course be collective (Open Geneva) 
- Facilitate organisational efficacy ","- Berner FHS: We asked 300 Start-Ups and SMEs why they think their business is more affected than others. We can provide this data to the participants.
- Sustainance : We can provide expertise to build a ""Response, Realignment & Resilience framework”","Submitted by: Berner Fachhochschule Wirtschaft, Canton of Geneva"
63,Economic Impact,Be (a) Local Hero,The coronavirus poses great challenges for our entire society. Especially local companies and self-employed persons are economically strongly affected. They have lost almost all their customers or even had to close down completely. Many lack the financial means to survive this crisis.,"Many platforms for neighbourhood help and shopping have been created. The vulnerability of society due to a lack of local production and distribution of services and products is clearly visible. We want crisis-proof infrastructures (in contrast to global players like Amazon). How can local platforms created by the crisis, such as Be Local Hero, be established in order to be able to stand up to international platforms after the crisis?","""Be Local Hero"" is the new free platform on which entrepreneurs, social entrepreneurs and small businesses can register themselves: A digital shop window, which is supposed to maintain the existence in the Corona crisis. At the same time, the population can stroll online through their neighbourhood. In this way, two local heroes meet - the shop next door and the community, whose support helps to maintain diversity in the neighbourhood.","belocalhero.com is already online with an increasing amount of user. We want to develop it further on conceptional as well technical level. Therefore we are looking for e-commerce specialist, sustainable business development, development
We are open for collaboration with other similar platform. If you are too, please contact us.",
64,Economic Impact,New Fundraising-Tools for NGO's,"According to a new Swissfundraising-report over 80 percent of the NGO's are frightened to receive less donations due to the Corona-Crises.This situation would lead in lower budgets for the projects, and therefor a tightening in project transfers. This again would lead in deep problems for the neglected groups in all area of NGO activities: Education, health, environment, arts & culture & sports, social and human services, social justice, youth, human rights, conflict and peace activities etc. The whole NGO sector would have huge problems in running their activities in order to serve their purpose. ",How can we establish new and effective fundraising tools in these difficult times in order to help the NGO's to overcome the decline in their donations?,,,
65,Economic Impact,Measuring the Economic Burden,"In this crisis, one of the key issues for governments is to perform a correct balance between managing public health to maintain mortality as low as possible and avoid overpressure on the healthcare system, while maintain the economic activity as high as possible. The measures implemented by the state cause many unwanted and unexpected consequences on our economy.",How can the economic consequences be presented in quantitative or qualitative terms on an ongoing basis? How can we build models and scenarios that allow forecasting optimal policies for Swiss cantonal and federal governments?,"Suggested solutions:
- Test new ways of analysing the impact of the COVID-19 measures on our economy (e.g. surveys, crowd-based mapping, ""Bürgerforum"") and summarises the discovered pros and cons of different measures based on the new insights
",,"This challenge has been submitted by several parties, including the Canton of Geneva. Also, the Federal Office of Public Health submitted a similar challenge (without a potential solution). Due to the current crisis, the Federal Office of Public Health will not be able to provide additional support to the teams throughout the Hackathon. Nevertheless, they are looking forward to seeing the results after the weekend!"
66,Economic Impact,"Prediction, planning and fraud detection of financial impacts on companies by real data",The governament actually doesen't have realtime predictions to be able to plan and build up directly financial support for tilted compoanies in realtime and also they ar not able to measure how immediatly this support impacts sustained over months and years to the hole environment.  ,"With beginning of a future world crisis the companies should provide the ""market area relevant performance and crisis relevant index parameters"" into a central record data-area of our country. A prediction engine should determine, which areas would be mostly impacted of a crisis and also the prediction should find out and prevent fraud in a crisis situation. The system should compare faster an financial support to the companies with the immedialty impacts of the financial injections. Derived from this results also a indication of goods, services and needs after a crisies should be determined and shared with the relevant sectors and branches, so that the economy can recover quickly.",A concept for economic interrelations should be build up and the relevant performing and crisis Indicators schould be defined. A PoC of a digital portal or digital data-collection and data-evaluation with prediction could be implemented,"actual and past economic datasets are needed, with an decentral data view detailled 
by alle locations and area of switzerland,
economical-, political-, scientistic- and philisophical expertes are needed",
67,Economic Impact,Basic Income as an economical accelerator ,he current program from the Swiss Government does only foresee shorterm mesures for entreprises not to fail. Longterm mesures have to be identified.,Finding longterm mesures to prevent the Swiss economy to slide into a long depression. ,Use basic Income as an economical accelerator ,"A economist, a tax expert and an accountant. ",
68,Economic Impact,How to efficiently clear essential goods at borders in international trade?,Billions of people are dependent on international trade to have access to essential goods. Those essential goods are stuck at borders and are awaiting clearance. The given hygiene requirements complicate the work of clearing agents and involved parties. ,"To reduce physical contact with customs and government agencies when clearing goods at borders a novel solution is needed, to allow remote clearance or inspections.",Remote clearance or inspections using risk-management techniques via mobile devices could be a game changer in this context.,,
69,Economic Impact,Food home delivery panic!,How can we help the swiss home food delivery industry deal with unprecedented amount of orders and customers' anxiety?,"Platforms like LeShop, Farmy, Coop@Home are overloaded and slots are fully booked weeks ahead which creates anxiety of penury among customers. ",The solution is maybe not entirely technical or logistical: maybe we should focus on the customers needs and their emotional state ,"People experienced with logistics.  Ideally an insider from home delivery companies, so we could get a realistic grasp on the context and the constraints (even for simple interviews on Friday or Saturday)",
70,Education,"Healthy, Local Food",The virus is harming people with compromised immune systems. People dont have knowledge what alimentation is good for them. Also need to avoid public places as much as possible.,We have knowledge of food which supports immunity better - how do we communicate this? And how can people get access to that food?,"Several solutions have been suggested:
- Organise group deliveries from local farmers. And in second stage- recepies.
- An 8 part practical learning programme","Different resources have been requested:
- I have specialists that can work on products choice. But probably will need additional specialists depending on volume. And developer and designer for the solution. Need local eco/bio farmers list with available products. Also need financing.
- I have 8 presentations which need to be digitized and tested.",
71,Education,AI Exercises,Students have to work from home. But for some tasks it is preferable to work on paper. E.g. children from the Primary School learn mathematics at home with help of exercise books. Parents are responsible for checking correctness of the results.,"Teachers must teach from home. How can worksheets be corrected (automatically) and teachers keep track of them? Parents, who work, have very limited time for checking correctness of e.g. many math exercises.","One solution has been suggested: 
- Interactive AI solution: giving, checking and scoring math exercises.
An initial version is already successfully used by children in the 1st and 2nd class of a Primary School in Thalwil.
Link: https://github.com/jonatan-kazmierczak/maths-practice-for-children
Next step: a Progressive Web App.","Different resources have been requested:
- The technology already exists, but I need teachers to create the matreal and use it.
- Web Developer(s) who can create an intuitive PWA",
72,Education,"""The green student"" : academic value of the mobility and cooperation","Mobility, exchange and cooperation in the field education are the cement of a more global and intercultural education system and society. With the current crisis these international activities have temporarily ceased or are relegated to the background. They will start up again, but it will be certainly different, the added value and sustainable development dimension will be more important in the future. It will be a challenge !","How can we imagine forms of exchange and mobility in the education/academic field that really take this change into account, that strengthen and intensify international cooperation while considering the green and sustainable dimension? How to motivate and support actors of the education system (schools, teachers, ...) ?","New and creative ideas, e.g an overview of the digital opportunities, virtual mobility tools, platforms, transportation facilities, good practices, ...",,
73,Education,Grade Wars: The Rise Of Skills,"Because of COVID-19 schools have stopped giving grades. It has become clear that it is not so much knowledge that students need for living in the digital age, but important skills such as teamwork, creativity, entrepreneurship, critical thinking or communication. ","Schools currently lack the tools to assess important skills of their learners and report them to students, future employees and colleges.  ","We have developed a tool for measuring and developing skills. With the help of teachers, professors, entrepreneurs and other experts we now want to implement the world's first indicator-based and empirically validated skill model.","We need know-how in the areas of UX, UI, statistics, data science and NLP (Natural Language Processing) and Devs to create a platform with which the validation of the skill model can be developed. The platform will be built in Flutter and Firestore.",
74,Education,teachers/students without infrastructure,The children who do not have a computer or have to share a computer with siblings and parents without discrimination to continue schooling . ,Partly by teachers who are not so fit with computers because they were not trained for it. How can teachers do this from home without a large infrastructure (e.g. copiers)?,,,
75,Education,Scratch programming courses for kids,Kids are at home and want to learn programming,Kids need tutors who help them with getting to know Scratch ,A group of experienced Scratch mentors who know Google CS First videos and methods,People knowing how to program Scratch and willing to prepare courses with Google CS First,Digital Impact Network and Reasearch Center for Digital Sustainability of University of Bern
76,Education,Open Education Server,"Schools need infrastructure for distance learning. In this need, many fall back on Microsoft, Google and Co., which are supposedly free of charge, but they hold serious dangers. 
Google uses the data of students and teachers for their data-driven business models. Microsoft creates in this way a vendor lock-in at an early age, from which the children can hardly escape later on. ","We want to offer schools and educational institutions an alternative, completely built on open source. These are non-profit, supplier-independent and the data remain in Switzerland. ","The association CH-Open already operates an Open Education Server as a proof of concept www.openeduserver.ch. The idea is to extend this server to a complete offer. This includes professional IT solutions (e-mail, online office, video conferencing, collaboration) on an complete open source basis.The solution should be professionally hosted, maintained by experts and supported by an NGO.","Software developers, users such as teachers, trainers, students, database specialists, open source experts, IT architects etc.",
77,Education,Tutorial for teachers,Teacher are not necessary comfortable  to act on video / make video and don't have time to create digital content. Because they need to prepare their courses and  they work home (sho w their privacy home on video),Provide ready to use video  following the teacher own content courses. Following the course  prepared by the teacher.  ,"Create video and contents ready to be used,  which followed the course prepared by the teacher. Creation of video with the contents ( figure, slides, integrated).... ","Editor for video,  website coding to create platform online to share the resource and interact with the teacher.",
78,Education,Food Education for All  - Not Only for Crisis Situations,"People need more food education to better understand why healthcare, food, hospitality and education are important, how they are linked together and what outcomes these are may have on our health, lifestyle, sustainability and crisis situations. For example, culinary skills at home, food safety, wellbeing of the healthcare workforce, shopping during emergency situations.","Missing a trustful ""umbrella"" platform for sharing examples of hospitality contributions  placing/coordination of workers (who do not work now) into other areas of need, e.g chefs working in social kitchens, hospitals, farms or supply chains supporting healthcare workers. Creating  solutions for people in need, poor areas, migrant communities and elderly people - people who most likely do not use/read online resources or have no internet access. ","Developing and implementing of more preventive and educational programmes to create public-private collaboration bridges, increase information awareness, train teachers and key professionals and secure a better translation for communities. Our partner has also developed a Mobile Kitchen concept to complement ""offline"" distribution of education. ","We are a group/ a global network of nutritionists, medical doctors, teachers, chefs and initiatives working together towards SDGs 2030 and improving the global implementation of nutrition education ",
79,Education,How to create a community of teachers to meet the challenges of distance education?,"Overnight, we asked students, parents and teachers to adapt to teaching at home. Teachers have never been trained in distance education and many questions arise: what tools? what activities? how to do it? These are the challenges facing teachers. ","Teachers do not have the training, tools and resources to teach at a distance. But we know that the community can be a support for any professional body. How can we support teachers in the current teaching situation. ","The creation of a federally based community of experts, teachers and researchers with support could be a solution .
","Teachers, parents, educational researchers, sociologists, etc., should be involved. ",
80,Education,One platform for communication for teachers,"Not able to communicate out of one single platform. Calls, emails, notes, and tasks are disconnected. Different tools for the same problem with the same stakeholder","One user-friendly platform for communication with peers, students, and parents ","Platform needs to be very userfriendly (especially for kids). Student should be able to resolve a problem, upload his work and teacher should be able to correct mistake directly on this upload","Webapplication that allows videocall, notes, content sharing, content edit, chat, and email. This needs to be supported introduced by the government as user will not adopt otherwise",
